Manufacturer,Model,Nationality,Derivative,Doors,Engine Size,OTR,12 month 12k miles Part-Ex,24 month 24k miles Part-Ex,36 month 36k miles Part-Ex,48 month 48k miles  Part-Ex,12month 12k miles % of OTR,24 month 24k miles % of OTR,36 month 36k miles % of OTR,3YR % Depreciation,48 month 48k miles % of OTR
Cadillac,CTS Sportwagon (2011-),USA,5Dr Estate 3.6 V6 322 EU5 Sport Luxury Auto6 AWD,5,3.6,50300,_20925.00,_17200.00,_14125.00,_12075.00,0.416,0.3419,0.2808,,0.2401
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SRi VX Line Red Nav 6Spd,5,1.4,25735,_10725.00,_8800.00,_7175.00,_6075.00,0.4167,0.3419,0.2788,,0.2361
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 Elite Nav 6Spd,5,1.4,26995,_11250.00,_9225.00,_7500.00,_6375.00,0.4167,0.3417,0.2778,,0.2362
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SE Nav 6Spd,5,1.4,24680,_10300.00,_8425.00,_6850.00,_5825.00,0.4173,0.3414,0.2776,,0.236
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 T SS 220 Elite Nav 6Spd,5,2.0,29075,_12175.00,_9950.00,_8100.00,_6875.00,0.4187,0.3422,0.2786,,0.2365
Fiat,Scudo Combi (2008-),Italy/USA,L1 5Dr 2.0 Multijet Power DPF 163 EU5 6Seat 6Spd,5,2.0,26838,_11250.00,_9250.00,_7575.00,_6475.00,0.4192,0.3447,0.2822,,0.2413
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 Exclusiv Nav 6Spd,5,1.4,21495,_9025.00,_7400.00,_6025.00,_5125.00,0.4199,0.3443,0.2803,,0.2384
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 CDTi DPF 195 Elite Nav Auto6,5,2.0,32790,_13775.00,_11250.00,_9175.00,_7800.00,0.4201,0.3431,0.2798,,0.2379
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SRi VX Line Red 6Spd,5,1.4,25100,_10550.00,_8625.00,_7025.00,_5950.00,0.4203,0.3436,0.2799,,0.2371
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 1.4 T SS 140 SE Nav 6Spd,4,1.4,24680,_10375.00,_8475.00,_6925.00,_5875.00,0.4204,0.3434,0.2806,,0.238
Fiat,Scudo Combi (2008-),Italy/USA,L2 5Dr 2.0 Multijet Power DPF 163 EU5 9Seat 6Spd,5,2.0,28146,_11850.00,_9750.00,_8000.00,_6825.00,0.421,0.3464,0.2842,,0.2425
Proton,Gen-2 (2004-),Malaysia,5Dr Hatchback 1.3 95 GLS,5,1.3,9195,_3875.00,_3200.00,_2625.00,_2225.00,0.4214,0.348,0.2855,,0.242
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 1.4 T SS 140 Elite Nav 6Spd,4,1.4,26995,_11375.00,_9300.00,_7575.00,_6425.00,0.4214,0.3445,0.2806,,0.238
Proton,Savvy (2005-),Malaysia,5Dr Hatchback 1.2 75 Style,5,1.2,7995,_3375.00,_2775.00,_2275.00,_1950.00,0.4221,0.3471,0.2846,,0.2439
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 1.4 T SS 140 SRi VX Line Red Nav 6Spd,5,1.4,27120,_11450.00,_9375.00,_7650.00,_6475.00,0.4222,0.3457,0.2821,,0.2388
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi Lux,5,1.3,7399,_3125.00,_2575.00,_2100.00,_1800.00,0.4224,0.348,0.2838,,0.2433
Chevrolet,Orlando (2011-),USA,5Dr Estate 1.4T 140 EU5 LT 7Seat Auto6,5,1.4,21245,_8975.00,_7400.00,_6075.00,_5175.00,0.4225,0.3483,0.2859,,0.2436
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SRi VX Line Nav 6Spd,5,1.4,25210,_10650.00,_8725.00,_7075.00,_6000.00,0.4225,0.3461,0.2806,,0.238
Cadillac,CTS Saloon (2011-),USA,4Dr Saloon 3.6 V6 322 EU5 Sport Luxury Auto6,4,3.6,46170,_19550.00,_16075.00,_13175.00,_11275.00,0.4234,0.3482,0.2854,,0.2442
Chevrolet,Orlando (2011-),USA,5Dr Estate 1.4T SS 140 EU5 LT 7Seat 6Spd,5,1.4,20295,_8600.00,_7075.00,_5800.00,_4950.00,0.4237,0.3486,0.2858,,0.2439
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SE 6Spd,5,1.4,23825,_10100.00,_8275.00,_6750.00,_5725.00,0.4239,0.3473,0.2833,,0.2403
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 1.4 T SS 140 Exclusiv Nav 6Spd,4,1.4,21495,_9125.00,_7450.00,_6100.00,_5175.00,0.4245,0.3466,0.2838,,0.2408
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 Elite 6Spd,5,1.4,26145,_11100.00,_9075.00,_7400.00,_6275.00,0.4246,0.3471,0.283,,0.24
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 1.4 T SS 140 Elite Nav 6Spd,5,1.4,28430,_12075.00,_9875.00,_8050.00,_6825.00,0.4247,0.3473,0.2832,,0.2401
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 1.4 T SS 140 SRi VX Line Red 6Spd,5,1.4,26485,_11250.00,_9225.00,_7500.00,_6375.00,0.4248,0.3483,0.2832,,0.2407
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 1.4 T SS 140 SE Nav 6Spd,5,1.4,26110,_11100.00,_9075.00,_7400.00,_6275.00,0.4251,0.3476,0.2834,,0.2403
Ssangyong,Turismo (2013-),South Korea,5Dr MPV 2.0 e-Xdi DPF 155 EU5 EX T-Tron Auto5 4WD Selectable,5,2.0,23995,_10200.00,_8400.00,_6900.00,_5875.00,0.4251,0.3501,0.2876,,0.2448
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 CDTi DPF SS 195 SRi VX line SNav 6Spd 4WD,5,2.0,31810,_13525.00,_11050.00,_9000.00,_7650.00,0.4252,0.3474,0.2829,,0.2405
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 86 EU5 Wolfrace Design,5,1.3,7399,_3150.00,_2575.00,_2125.00,_1800.00,0.4257,0.348,0.2872,,0.2433
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 CDTi DPF 195 Elite Auto6,5,2.0,31935,_13600.00,_11125.00,_9075.00,_7700.00,0.4259,0.3484,0.2842,,0.2411
MG Motor UK,MG6 (2011-),Britain,5Dr Hatchback 1.8T 160 GT EU5 SE,5,1.8,16955,_7225.00,_5900.00,_4800.00,_4075.00,0.4261,0.348,0.2831,,0.2403
Fiat,Scudo Combi (2008-),Italy/USA,L2 5Dr 2.0 Multijet Power DPF 163 EU5 6Seat 6Spd,5,2.0,27318,_11650.00,_9575.00,_7875.00,_6725.00,0.4265,0.3505,0.2883,,0.2462
MG Motor UK,MG6 (2011-),Britain,5Dr Hatchback 1.8T 160 EU5 BTCC Special Edition,5,1.8,16995,_7250.00,_5925.00,_4825.00,_4100.00,0.4266,0.3486,0.2839,,0.2412
Jeep,Wrangler (2011-),USA,2Dr SUV 3.6 V6 280 EU5 Rubicon Auto5,2,3.6,29925,_12775.00,_10475.00,_8525.00,_7250.00,0.4269,0.35,0.2849,,0.2423
Jeep,Wrangler (2011-),USA,2Dr SUV 3.6 V6 280 EU5 Sahara Auto5,2,3.6,29025,_12400.00,_10125.00,_8275.00,_7000.00,0.4272,0.3488,0.2851,,0.2412
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 1.4 T SS 140 SRi VX Line Nav 6Spd,5,1.4,26620,_11375.00,_9300.00,_7575.00,_6425.00,0.4273,0.3494,0.2846,,0.2414
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 Exclusiv 6Spd,5,1.4,20705,_8850.00,_7250.00,_5900.00,_5025.00,0.4274,0.3502,0.285,,0.2427
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 1.4 T SS 140 Elite 6Spd,4,1.4,26145,_11175.00,_9150.00,_7450.00,_6325.00,0.4274,0.35,0.2849,,0.2419
Citroen,C5 (2008-),France,5Dr Tourer 2.2 HDi DPF 200 EU5 Exclusive Techno Pack 6Spd,5,2.2,30435,_13025.00,_10650.00,_8700.00,_7350.00,0.428,0.3499,0.2859,,0.2415
Vauxhall,Insignia (2009-),Britain,4Dr Saloon 1.4 T SS 140 SE 6Spd,4,1.4,23825,_10200.00,_8350.00,_6800.00,_5775.00,0.4281,0.3505,0.2854,,0.2424
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 1.4 T SS 140 SRi VX Line 6Spd,5,1.4,24415,_10475.00,_8550.00,_6975.00,_5900.00,0.429,0.3502,0.2857,,0.2417
Renault,Zoe (2013-),France,5Dr Hatchback 0.0 Electric 88 EU5 Dynamique ZEN Auto,5,0.0,20043,_8600.00,_7075.00,_5825.00,_4950.00,0.4291,0.353,0.2906,,0.247
Jeep,Wrangler (2011-),USA,4Dr SUV 3.6 V6 280 EU5 Sahara Auto5,4,3.6,30695,_13175.00,_10800.00,_8800.00,_7450.00,0.4292,0.3518,0.2867,,0.2427
MG Motor UK,MG6 (2011-),Britain,4Dr Saloon 1.9DTi DPF SS 150 EU5 6Spd,4,1.9,21195,_9100.00,_7450.00,_6075.00,_5150.00,0.4293,0.3515,0.2866,,0.243
Jeep,Cherokee (2014-),USA,5Dr SUV 2.0 CRD DPF SS 170 EU5 Limited Auto9 4WD,5,2.0,35695,_15325.00,_12600.00,_10350.00,_8850.00,0.4293,0.353,0.29,,0.2479
Vauxhall,Insignia (2009-),Britain,5Dr Sports Tourer 2.0 CDTi DPF 195 Elite Nav Auto6,5,2.0,34185,_14675.00,_12000.00,_9800.00,_8300.00,0.4293,0.351,0.2867,,0.2428
Perodua,Myvi (2006-),Malaysia,5Dr Hatchback 1.3 SXi Sport,5,1.3,7799,_3350.00,_2750.00,_2250.00,_1950.00,0.4295,0.3526,0.2885,,0.25
Vauxhall,Insignia (2009-),Britain,5Dr Hatchback 2.0 CDTi DPF SS 195 SRi VX line 6Spd 4WD,5,2.0,31015,_13325.00,_10900.00,_8900.00,_7525.00,0.4296,0.3514,0.287,,0.2426
